Longitude,Latitude,,addr:street,amenity,name,building,opening_hours,capacity,description,ref,wheelchair,shelter,name:en,covered,source,fixme,bin,operator,addr:housenumber,note,access,bench,name:zh,survey:date,level,fixme:zh,addr:postcode,location,service,bus_bay,postal_code,tactile_paving,lit,id
103.83961,1.301185,,,taxi,,,,4,Orchard Road outside Centrepoint,A11,yes,,,,,,,,,,,,,,,,,,,,,,,
103.836224,1.303827,,,taxi,Plaza Singapura,,,7,Bideford Road - driveway of Paragon Shopping Centre,A02,yes,,,,,,,,,,,,,,,,,,,,,,,
103.834524,1.302266,,,taxi,Sembawang Wharves,,,3,Orchard Turn along driveway outside Ngee Ann City,A09,yes,,,,,,,,,,,,,,,,,,,,,,,
103.83769,1.30316,,,taxi,Orchard Gateway,,,3,Cairnhill Road outside Cairnhill Place,A06,no,,,,,,,,,,,,,,,,,,,,,,,
103.853788,1.297617,,,taxi,Sembawang Shopping Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.845319,1.300652,,,taxi,Sun Plaza,,,3,Handy Road outside Plaza Singapura,A16,yes,,,,,,,,,,,,,,,,,,,,,,,
103.829917,1.458931,,,taxi,Bukit Gombak Station,,,,,H11,,,,,,,,,,,,,,,,,,,,,,,,
103.838859,1.300531,,,taxi,Arrival Station,,,,,A22,,,,,,,,,,,,,,,,,,,,,,,,
103.824376,1.441753,,,taxi,Taxi Stand,,,,,H12,,,,,,,,,,,,,,,,,,,,,,,,
103.819096,1.447964,,,taxi,The Bayshore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.751533,1.358814,,Bukit Batok West Avenue 5,taxi,Blk 209,,,,,J01,,,,,,,,,,,,,,,,,,,,,,,,
103.839272,1.247191,,,taxi,Junction 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.780008,1.30744,,,taxi,MAS Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.831944,1.308504,,,taxi,International Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.939102,1.312156,,,taxi,Clementi Station,,,,,I11,,,,,,,,,,,,,,,,,,,,,,,,
103.931565,1.324442,,,taxi,Blk 90 Food Centre,,,,,I07,,,,,,,,,,,,,,,,,,,,,,,,
103.859907,1.283886,,,taxi,King Albert Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.817888,1.251238,,,taxi,Orchard Towers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.849077,1.350708,,,taxi,Century Square Taxi Stand,,,,,F03,,,,,,,,,,,,,,,,,,,,,,,,
103.84706,1.274669,,,taxi,Tampines Mall,,,,,E20,,,,,,,,,,,,,,,,,,,,,,,,
103.846306,1.275837,,,taxi,Tanjong Pagar Plaza,,,,,E30,,,,,,,,,,,,,,,,,,,,,,,,
103.775143,1.299953,,,taxi,Harbourfront Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.773492,1.308179,,,taxi,Woodlands Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.773409,1.307584,,,taxi,Bedok Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.772561,1.305692,,,taxi,Singapore-Johore Taxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.774728,1.304098,,,taxi,Lorong Chuan Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.774112,1.305097,,,taxi,Thomson Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.772428,1.304175,,,taxi,Raffles Hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.771826,1.306876,,,taxi,Ang Mo Kio Hub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.771249,1.298142,,,taxi,Tanah Merah Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.771986,1.298128,,,taxi,Serangoon Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.781976,1.295678,,,taxi,SGH Block 7 Entrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.770134,1.29384,,,taxi,Buona Vista Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.76515,1.31473,,,taxi,Hitachi Towers,,,,,J07,,,,,,,,,,,,,,,,,,,,,,,,
103.85494,1.322756,,,taxi,Holland Road Shopping Centre,,,,,F11,,,,,,,,,,,,,,,,,,,,,,,,
103.779226,1.336603,,,taxi,Hougang Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.829111,1.307157,,,taxi,Immigration and Checkpoints Authority,,,,,F50,,,,,,,,,,,,,,,,,,,,,,,,
103.761425,1.42474,,,taxi,Institute of Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.774155,1.292316,,,taxi,Pioneer Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.94354,1.352314,,,taxi,Jurong East Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.944928,1.352249,,,taxi,KK Hospital,,,,,I03,,,,,,,,,,,,,,,,,,,,,,,,
103.787349,1.2988,,,taxi,Katong Shopping Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.8432,1.276027,,,taxi,Keck Seng Tower,,,,,E25,,,,,,,,,,,,,,,,,,,,,,,,
103.859974,1.282423,,,taxi,Khatib Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.861011,1.284741,,,taxi,Kovan Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.820555,1.264778,,,taxi,Kovan Station,,,,,F30,,,,,,,,,,,,,,,,,,,,,,,,
103.785605,1.435585,,,taxi,Kranji Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.787231,1.437255,,,taxi,Lau Pa Sat,,,,,H15,,,,,,,,,,,,,,,,,,,,,,,,
103.929594,1.323651,,,taxi,Commonwealth Station,,,,,I08,,,,,,,,,,,,,,,,,,,,,,,,
103.85642,1.303347,,Ban San Street,taxi,Dakota Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.864584,1.351618,,,taxi,Dover Station,,,,,G08,,,,,,,,,,,,,,,,,,,,,,,,
103.831047,1.355029,,,taxi,Eastpoint Shopping Mall,,,,,F10,,yes,,,,,,,,,,,,,,,,,,,,,,
